category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,0,-0.3643040236957252,-0.6991847254012875,-0.0294233219901629,0.03299282954163555,0.03722546272015098,2.9223580514488883e-9,14,7
Anxiolytics,0.2,-0.3320109090123922,-0.6653684642690645,0.001346646244280103,0.0509326929883324,0.023188945059171837,1.96468507188374e-9,14,7
Anxiolytics,0.4,-0.29249605848968185,-0.6198981408162596,0.03490602383689595,0.07994554483354689,0.008022241231236562,9.460374813834475e-10,14,7
Anxiolytics,0.5,-0.2674528641810872,-0.5899592607276456,0.055053532365471114,0.10407994124485331,6.348321721027332e-9,1.0867357120809832e-9,14,7
Anxiolytics,0.6,-0.24165783390757395,-0.5683982483421477,0.0850825805269998,0.14717202062061277,2.7615561521796004e-9,1.2944692442088683e-10,14,7
Anxiolytics,0.8,-0.14288345145278358,-0.47562315767996605,0.18985625477439888,0.3999905482592644,1.3034867817013004e-9,2.385565606071154e-9,14,7
Ethanol,0,-0.6861160766345632,-1.9938112048975514,0.6215790516284249,0.30378719177896774,3.7022645290145587e-7,3.4998459378258433,13,8
Ethanol,0.2,-0.65325514870869,-2.051339015163167,0.7448287177457871,0.3597750457087278,1.5551188809582013,2.196452008021006,13,8
Ethanol,0.4,-0.6320260611527511,-2.0623731294922507,0.7983210071867484,0.38646418494345564,1.844886419368769,2.062967837611881,13,8
Ethanol,0.5,-0.6158690701556851,-2.069539279841524,0.8378011395301536,0.40633076317304356,2.0344327175289014,1.9955574523506272,13,8
Ethanol,0.6,-0.5929878800987357,-2.0804272664589485,0.894451506261477,0.4345871339195685,2.294800570546226,1.9216984766106369,13,8
Ethanol,0.8,-0.4984334935616409,-2.1464140646780625,1.1495470775547805,0.5533195510807762,3.4730767656465455,1.7336139016713281,13,8
NMDA antagonists,0,-2.6526725417935935,-4.891876465457673,-0.41346861812951374,0.02023988297151503,3.4029850299120215,3.4029850299120215,9,6
NMDA antagonists,0.2,-2.471671731382561,-4.555503777195936,-0.38783968556918547,0.02008535698823348,2.8736903902077517,2.873690355051138,9,6
NMDA antagonists,0.4,-2.281874085913845,-4.239212778369314,-0.3245353934583759,0.0223166591556492,2.4811917274489756,2.481191721888613,9,6
NMDA antagonists,0.5,-2.1767792963855586,-4.082264563321827,-0.2712940294492907,0.02515497677803811,2.3314095114275397,2.3314095857840695,9,6
NMDA antagonists,0.6,-2.057487975649125,-3.920337741573092,-0.19463820972515844,0.03040690567009709,2.21478362711745,2.2147836275952306,9,6
NMDA antagonists,0.8,-1.7208702897324468,-3.545637810942864,0.1038972314779707,0.06454897444978026,2.135753190279699,2.135753190481723,9,6
Stress,0,0.8673506584244738,0.12706632642709437,1.6076349904218532,0.021654015477108643,6.890309576436036e-9,1.274434267283052,15,10
Stress,0.2,0.8904410821798642,0.16979929109051728,1.611082873269211,0.0154448995965801,6.269194316100621e-9,1.1830119739990774,15,10
Stress,0.4,0.920822375154914,0.2247702617750097,1.6168744885348185,0.009517633549543532,6.427717247063379e-9,1.075270428705159,15,10
Stress,0.5,0.9412104021768587,0.26026634629215806,1.6221544580615594,0.006746810770029026,8.464155964618357e-9,1.0123853858958887,15,10
Stress,0.6,0.9681721700456022,0.3047392285127779,1.6316051115784265,0.004233101530916571,5.625285900698291e-9,0.9423287475549746,15,10
Stress,0.8,1.076645293580038,0.4458543574672049,1.707436229692871,8.219310604455902e-4,8.927057255255297e-9,0.8191322392657364,15,10
